# Created by Octave 4.0.3, Sun Oct 16 19:42:44 2016 CDT <alejandrotapia@Alejandros-MacBook-Pro.local>
# name: featuresX
# type: matrix
# rows: 47
# columns: 2
 493 3
 1886 3
 1071 5
 1841 1
 710 1
 444 3
 545 3
 1354 5
 748 4
 91 2
 1309 5
 600 4
 1249 5
 1938 2
 1076 3
 1106 3
 1910 5
 1371 4
 869 2
 687 2
 73 3
 108 5
 1170 4
 1461 1
 471 2
 1641 4
 1281 1
 1816 4
 1843 3
 1964 3
 368 4
 1166 5
 27 1
 391 4
 1076 5
 639 3
 939 4
 481 4
 1519 2
 97 1
 307 5
 593 5
 1276 1
 474 1
 1634 2
 1193 3
 728 1


